5236,8036 0,832910631026697
5237,2031 0,821300577655263
5237,6027 0,829803877040241
5238,0025 0,82497523758272
5238,4023 0,829043638693314
5238,8022 0,827412042329807
5239,2022 0,838317279396764
5239,6023 0,823934147272444
5240,0024 0,828955165906854
5240,4027 0,828462106496385
5240,803 0,828520956509005
5241,2035 0,814414359392561
5241,604 0,811155155541013
5242,0046 0,80771190580799
5242,4053 0,787192505562803
5242,8061 0,785518488894451
5243,207 0,8115868293402
5243,608 0,811746439146773
5244,009 0,83649686394372
5244,4102 0,841446335108611
5244,8114 0,840681109948905
5245,2127 0,833740523166519
5245,6141 0,812763244921097
5246,0156 0,791213211749469
5246,4172 0,771256537565202
5246,8189 0,751902290551297
5247,2207 0,75107778540733
5247,6225 0,768136522079818
5248,0245 0,748138215835365
5248,4265 0,768640141358158
5248,8286 0,770760419051247
5249,2308 0,760812096897549
5249,6331 0,751233517123828
5250,0355 0,743468207171367
5250,438 0,742771287175884
5250,8406 0,749717943709484
5251,2432 0,765716871044906
5251,646 0,768559668321372
5252,0488 0,777574765808937
5252,4517 0,784674744139488
5252,8547 0,78114435810057
5253,2578 0,773018576493818
5253,661 0,763201363076859
5254,0643 0,744072583937388
5254,4677 0,741783649612025
5254,8711 0,752622898662135
5255,2747 0,756262343772779
5255,6783 0,783316265065079
5256,082 0,795026511284289
5256,4858 0,816864802668984
5256,8897 0,835260643269454
5257,2937 0,846285534196843
5257,6977 0,854989542094895
5258,1019 0,858721573631264
5258,5062 0,848417601076491
5258,9105 0,844698345487761
5259,3149 0,839052402695276
5259,7194 0,814876277461055
5260,124 0,79209166237204
5260,5287 0,769397369820675
5260,9335 0,735917492379788
5261,3384 0,718511381878789
5261,7433 0,696692860296524
5262,1483 0,661358131958984
5262,5535 0,654663989279158
5262,9587 0,63286193131879
5263,364 0,632647796704437
5263,7694 0,613868541224474
5264,1749 0,61380063536678
5264,5805 0,595675746665709
5264,9861 0,582424225308385
5265,3919 0,585424775490543
5265,7977 0,586680376293142
5266,2036 0,610376596746761
5266,6096 0,640944432394628
5267,0157 0,669318101358081
5267,4219 0,664933359670518
5267,8282 0,651223029994375
5268,2346 0,6164583234655
5268,641 0,573633210137003
5269,0476 0,542570989105335
5269,4542 0,536222299725131
5269,8609 0,548349031881761
5270,2677 0,590011883971947
5270,6746 0,635643164234044
5271,0816 0,673758408892463
5271,4887 0,714262789261729
5271,8958 0,717701441593621
5272,3031 0,736927299836065
5272,7104 0,736902542524616
5273,1178 0,740417403287058
5273,5253 0,735043044016268
5273,9329 0,732840738901596
5274,3406 0,714302969531149
5274,7484 0,708413873563366
5275,1562 0,721017857478171
5275,5642 0,743090380302425
5275,9722 0,761031972870897
5276,3804 0,781721739014375
5276,7886 0,825336911060027
5277,1969 0,846357975387887
5277,6053 0,84848398552533
5278,0137 0,849822153504701
5278,4223 0,848912323925454
5278,831 0,837857032783324
5279,2397 0,830178727757842
5279,6485 0,810626951018893
5280,0574 0,776234641671399
5280,4664 0,759735155215463
5280,8755 0,749730356093157
5281,2847 0,746289187841994
5281,694 0,719749273349514
5282,1033 0,720574658119693
5282,5128 0,712948893554414
5282,9223 0,708762021655049
5283,3319 0,712680182671977
5283,7416 0,735576235381752
5284,1514 0,753957385611364
5284,5613 0,782259913401544
5284,9713 0,822787866954692
5285,3814 0,851892023678216
5285,7915 0,865272610514266
5286,2017 0,861152064912509
